causality_actor_process_image_path,os_actor_process_image_path,os_actor_process_image_name,action_local_port,action_remote_ip,dst_action_external_hostname,action_remote_port,count_endpoints,is_standard_application,main_domain,main_subdomain,registered_domain
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,Finder,53,192.168.1.1,No DNS Record found,53,29,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,Finder,54836,172.16.27.30,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,Finder,53,192.168.40.1,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,Finder,60193,181.213.132.3,b5d58403.virtua.com.br,53,1,TRUE,virtua.com.br,b5d58403.virtua.com.br,virtua.com.br
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,Finder,49810,8.8.8.8,dns.google,53,1,TRUE,dns.google,.dns.google,dns.google
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,Finder,56673,192.168.1.254,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,Finder,53,192.168.1.254,No DNS Record found,53,21,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,Finder,51134,192.168.1.254,No DNS Record found,53,1,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder,Finder,53,10.101.231.53,No DNS Record found,53,31,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,Dictionary,57163,184.85.135.190,a184-85-135-190.deploy.static.akamaitechnologies.com,443,1,TRUE,akamaitechnologies.com,a184-85-135-190.deploy.static.akamaitechnologies.com,akamaitechnologies.com
/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,Dictionary,57182,184.85.135.190,a184-85-135-190.deploy.static.akamaitechnologies.com,443,1,TRUE,akamaitechnologies.com,a184-85-135-190.deploy.static.akamaitechnologies.com,akamaitechnologies.com
/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,Dictionary,64380,184.85.135.190,a184-85-135-190.deploy.static.akamaitechnologies.com,443,1,TRUE,akamaitechnologies.com,a184-85-135-190.deploy.static.akamaitechnologies.com,akamaitechnologies.com
/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,Dictionary,53786,184.85.135.190,a184-85-135-190.deploy.static.akamaitechnologies.com,443,1,TRUE,akamaitechnologies.com,a184-85-135-190.deploy.static.akamaitechnologies.com,akamaitechnologies.com
/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,Dictionary,64514,184.85.135.190,a184-85-135-190.deploy.static.akamaitechnologies.com,443,1,TRUE,akamaitechnologies.com,a184-85-135-190.deploy.static.akamaitechnologies.com,akamaitechnologies.com
/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,Dictionary,55077,184.24.58.147,lookup-api.apple.com,443,1,TRUE,apple.com,lookup-api.apple.com,apple.com
/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,Dictionary,57162,184.85.135.190,a184-85-135-190.deploy.static.akamaitechnologies.com,443,1,TRUE,akamaitechnologies.com,a184-85-135-190.deploy.static.akamaitechnologies.com,akamaitechnologies.com
/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,Dictionary,54002,184.85.135.190,a184-85-135-190.deploy.static.akamaitechnologies.com,443,1,TRUE,akamaitechnologies.com,a184-85-135-190.deploy.static.akamaitechnologies.com,akamaitechnologies.com
/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,/System/Applications/Dictionary.app/Contents/MacOS/Dictionary,Dictionary,65265,184.85.135.190,lookup-api.apple.com,443,1,TRUE,apple.com,lookup-api.apple.com,apple.com
